,region,new,price,bedrm,bth,sqft
11320 E 39th St S,"Independence, MO",NEW,"$90,000",2bd,1ba,"1,116 sqft"
1301 NW 54th St,"Blue Springs, MO",FOR SALE BY OWNER,"$225,000",3bd,2ba,"1,474 sqft"
709 SW Wintergarden Dr,"Lees Summit, MO",NEW,"$445,000",4bd,4ba,"3,619 sqft"
3636 SW Crane Rd,"Lees Summit, MO",OLD,"$230,000",4bd,3ba,"2,664 sqft"
16800 Hardee St,"Belton, MO",NEW,"$174,900",3bd,2ba,"1,522 sqft"
1205 SW Neelie Ln,"Lees Summit, MO","NEWOPEN SAT, 12-3PM","$452,900",4bd,3ba,"2,800 sqft"
20808 E 13th Ter S,"Bridger, Independence, MO",OLD,"$128,000",3bd,2ba,"1,824 sqft"
208 Laura St,"Liberty, MO",OLD,"$159,000",3bd,2ba,"1,427 sqft"
611 NE Burning Tree St,"Lees Summit, MO",OLD,"$314,900",3bd,3ba,"2,747 sqft"
1401 S Huntington Dr,"Greenwood, MO",OLD,"$235,000",3bd,3ba,"2,706 sqft"
1512 NE Ivory Ln,"Lees Summit, MO",FOR SALE BY OWNER,"$262,500",4bd,4ba,"2,666 sqft"
1714 N High St,"Ott-Chrisman, Independence, MO",NEW,"$119,500",3bd,2ba,"1,214 sqft"
15305 E 37th Ter,"Sycamore, Independence, MO","NEWOPEN SAT, 12-2PM","$200,000",4bd,2ba,"1,640 sqft"
825 W 30th St S,"Santa Fe, Independence, MO",OLD,"$179,950",3bd,2ba,"1,460 sqft"
17018 Elizabeth Dr,"Kearney, MO",FOR SALE BY OWNER,"$339,954",4bd,4ba,"3,100 sqft"
513 NE Wenonga Pl,"Lees Summit, MO",OLD,"$420,000",4bd,3ba,"3,294 sqft"
304 Gentry St,"Liberty, MO",NEWFOR SALE BY OWNER,"$344,000",3bd,3ba,"2,466 sqft"
717 W Jones St,"Ott-Chrisman, Independence, MO",NEW,"$130,000",3bd,2ba,"1,717 sqft"
25 Westmoreland Pl,"Central West End, Saint Louis, MO",NEW,"$1,369,900",7bd,6ba,"7,980 sqft"
4222 Delmar Blvd,"Central West End, Saint Louis, MO",NEW,"$234,900",3bd,3ba,"1,952 sqft"
3511 Wyoming St,"Tower Grove East, Saint Louis, MO",NEW,"$485,000",4bd,3ba,"2,668 sqft"
1908 Hickory St,"Lafayette Square, Saint Louis, MO",NEW,"$365,000",3bd,3ba,"2,120 sqft"
4017 Dryden Ave,"Penrose, Saint Louis, MO",NEWFOR SALE BY OWNER,"$25,000",5bd,2ba,"1,750 sqft"
4626 Steffens Ave,"Bevo Mill, Saint Louis, MO",NEW,"$140,000",3bd,2ba,"1,008 sqft"
5642 Maple Ave,"West End, Saint Louis, MO","OPEN SUN, 1-3PM","$339,900",4bd,4ba,"2,046 sqft"
6624 Marmaduke Ave,"Clifton Heights, Saint Louis, MO",OLD,"$177,000",2bd,2ba,"1,686 sqft"
1121 Forest Ave,"Hi-Pointe, Saint Louis, MO",OLD,"$165,000",3bd,2ba,"1,200 sqft"
5593 Floy Ave,"Walnut Park West, Saint Louis, MO",FOR SALE BY OWNER,"$14,995",2bd,1ba,984 sqft
6046 Pernod Ave,"Lindenwood Park, Saint Louis, MO",OLD,"$265,000",4bd,2ba,"2,482 sqft"
5725 Nottingham Ave,"South Hampton, Saint Louis, MO",NEW,"$219,000",2bd,1ba,"1,108 sqft"
7246 Arsenal St,"Ellendale, Saint Louis, MO",OLD,"$349,900",3bd,3ba,"1,950 sqft"
1100 Blendon Pl,"Hi-Pointe, Saint Louis, MO",OLD,"$255,000",3bd,3ba,"1,400 sqft"
6167 Washington Blvd,"Skinker-DeBaliviere, Saint Louis, MO",OLD,"$319,000",3bd,3ba,"1,920 sqft"
5972 Summit Ave,"North Point, Saint Louis, MO",NEW,"$125,000",5bd,3ba,"1,150 sqft"
4108 Oregon Ave,"Dutchtown, Saint Louis, MO",NEW,"$30,000",1bd,1ba,799 sqft
5249 Walsh St,"South Hampton, Saint Louis, MO",OLD,"$359,000",4bd,2ba,"1,900 sqft"
5916 Cates Ave,"West End, Saint Louis, MO",OLD,"$285,000",6bd,4ba,"2,580 sqft"
6629 Lindenwood Pl,"Lindenwood Park, Saint Louis, MO",OLD,"$289,000",3bd,3ba,"1,758 sqft"
1825 Lawrence St,"Shaw, Saint Louis, MO",OLD,"$230,000",4bd,2ba,"1,630 sqft"
5040 Murdoch Ave,"South Hampton, Saint Louis, MO",OLD,"$245,000",3bd,2ba,"2,176 sqft"
6451 S Kingshighway Blvd,"Princeton Heights, Saint Louis, MO",NEW,"$147,900",2bd,1ba,972 sqft
5266 Washington Pl,"Central West End, Saint Louis, MO",OLD,"$349,000",5bd,4ba,"3,843 sqft"
7840 Adkins Ave,"Boulevard Heights, Saint Louis, MO",OLD,"$179,000",4bd,1ba,"1,633 sqft"
6221 Marmaduke Ave,"Clifton Heights, Saint Louis, MO",OLD,"$184,900",2bd,2ba,"1,008 sqft"
4010 Schiller Pl,"Bevo Mill, Saint Louis, MO",OLD,"$159,900",4bd,2ba,"1,681 sqft"
46 Washington Ter,"DeBaliviere Place, Saint Louis, MO",OLD,"$1,189,000",6bd,4ba,"7,056 sqft"
5508 Lansdowne Ave,"South Hampton, Saint Louis, MO",NEW,"$269,900",3bd,2ba,"1,373 sqft"
3262 Jamieson Ave,"Lindenwood Park, Saint Louis, MO",OLD,"$150,000",2bd,1ba,852 sqft
5830 Wise Ave,"Cheltenham, Saint Louis, MO",OLD,"$55,000",2bd,1ba,644 sqft
5082 Washington Pl,"Central West End, Saint Louis, MO",OLD,"$625,000",5bd,4ba,"4,366 sqft"
4007 Lafayette Ave,"Botanical Heights (formerly McRee Town), Saint Louis, MO",OLD,"$295,000",3bd,3ba,"2,264 sqft"
6285 Magnolia Ave,"Clifton Heights, Saint Louis, MO",OLD,"$214,900",3bd,2ba,"1,488 sqft"
3815 Kosciusko St,"Marine Villa, Saint Louis, MO",OLD,"$349,500",4bd,4ba,"2,800 sqft"
3714 Wyoming St,"Tower Grove South, Saint Louis, MO",OLD,"$415,000",3bd,3ba,"2,538 sqft"
7335 Virginia Ave,"Patch, Saint Louis, MO",OLD,"$159,900",3bd,2ba,"1,698 sqft"
4843 Allemania St,"Boulevard Heights, Saint Louis, MO",OLD,"$149,900",3bd,2ba,"1,224 sqft"
4956 Robert Ave,"Princeton Heights, Saint Louis, MO",NEW,"$159,900",2bd,1ba,875 sqft
6534 Nashville Ave,"Clayton-Tamm, Saint Louis, MO",OLD,"$119,900",1bd,2ba,688 sqft
4417 Oakland Ave,"Forest Park Southeast, Saint Louis, MO",OLD,"$347,900",3bd,2ba,"1,920 sqft"
457 Eichelberger St,"Dutchtown, Saint Louis, MO",OLD,"$165,000",3bd,3ba,"2,182 sqft"
5650 Morganford Rd,"Bevo Mill, Saint Louis, MO",OLD,"$115,000",2bd,1ba,979 sqft
3648 Flad Ave,"Shaw, Saint Louis, MO",OLD,"$379,000",5bd,3ba,"1,950 sqft"
4734 Rosa Ave,"Princeton Heights, Saint Louis, MO",FOR SALE BY OWNER,"$222,500",2bd,1ba,"1,206 sqft"
4926 Sunshine Dr,"Princeton Heights, Saint Louis, MO",NEW,"$160,000",2bd,1ba,"1,080 sqft"
4833 Gardenville Ave,"Princeton Heights, Saint Louis, MO",OLD,"$119,900",2bd,1ba,924 sqft
4434 Vista Ave,"Forest Park Southeast, Saint Louis, MO",OLD,"$459,000",3bd,3ba,"1,904 sqft"
2618 Accomac St,"Fox Park, Saint Louis, MO",OLD,"$180,000",5bd,2ba,"2,538 sqft"
4738 Ray Ave,"Bevo Mill, Saint Louis, MO",OLD,"$154,900",4bd,3ba,"1,099 sqft"
5220 Winona Ave,"South Hampton, Saint Louis, MO",OLD,"$364,900",4bd,3ba,"2,234 sqft"
4616 Westminster Pl,"Central West End, Saint Louis, MO",OLD,"$450,000",7bd,3ba,"2,723 sqft"
3120 Eads Ave,"The Gate District, Saint Louis, MO",OLD,"$550,000",4bd,4ba,"3,564 sqft"
5936 Marwinette Ave,"Holly Hills, Saint Louis, MO",OLD,"$219,900",3bd,2ba,"1,215 sqft"
7020 Mitchell Ave,"Franz Park, Saint Louis, MO",OLD,"$199,000",2bd,2ba,"1,300 sqft"
4985 Parker Ave,"North Hampton, Saint Louis, MO",OLD,"$167,000",3bd,1ba,933 sqft
1017 Lafayette Ave,"La Salle, Saint Louis, MO",OLD,"$285,000",3bd,2ba,"2,512 sqft"
2651 Shenandoah Ave,"Fox Park, Saint Louis, MO",OLD,"$389,900",4bd,4ba,"2,756 sqft"
4709 Vienna Ave,"St. Louis Hills, Saint Louis, MO",OLD,"$650,000",5bd,4ba,"3,248 sqft"
4856 Anderson Ave,"Penrose, Saint Louis, MO",FOR SALE BY OWNER,"$40,000",3bd,1ba,"1,129 sqft"
5802 Bartmer Ave,"West End, Saint Louis, MO",OLD,"$150,000",6bd,3ba,"2,536 sqft"
2902 Ellendale Ave,"Ellendale, Saint Louis, MO",OLD,"$175,000",4bd,2ba,"1,598 sqft"
1214 Missouri Ave,"Lafayette Square, Saint Louis, MO",OLD,"$320,000",3bd,2ba,"1,852 sqft"
4325 Frieda Ave,"Bevo Mill, Saint Louis, MO",OLD,"$139,900",3bd,2ba,"1,106 sqft"
2026 Allen Ave,"McKinley Heights, Saint Louis, MO",NEWAUCTION,Contact For Price,3bd,2ba,"2,256 sqft"
4218 W Evans Ave,"Vandeventer, Saint Louis, MO",OLD,"$77,500",4bd,3ba,"2,124 sqft"
3328 Lemp Ave,"Benton Park, Saint Louis, MO",OLD,"$339,900",3bd,2ba,"2,364 sqft"
4657 Varrelmann Ave,"Bevo Mill, Saint Louis, MO",OLD,"$142,500",3bd,3ba,"1,862 sqft"
2635 Chippewa St,"Gravois Park, Saint Louis, MO",OLD,"$55,000",5bd,3ba,"2,834 sqft"
2111 Withnell Ave,"Benton Park, Saint Louis, MO",OLD,"$339,900",3bd,2ba,"2,150 sqft"
4532 Louisiana Ave,"Dutchtown, Saint Louis, MO",OLD,"$219,900",4bd,1ba,"2,194 sqft"
6067 W Florissant Ave,"North Point, Saint Louis, MO",BANK OWNED,"$14,900",3bd,2ba,"1,080 sqft"
4159 Toenges Ave,"Boulevard Heights, Saint Louis, MO",OLD,"$245,000",4bd,1ba,"1,841 sqft"
2721 Macklind Ave,"Southwest Garden, Saint Louis, MO",OLD,"$179,900",3bd,2ba,"1,180 sqft"
3915 Tholozan Ave,"Tower Grove South, Saint Louis, MO",OLD,"$220,000",3bd,1ba,"2,535 sqft"
4314 Dewey Ave,"Dutchtown, Saint Louis, MO",OLD,"$112,400",2bd,2ba,"1,007 sqft"
4219 Louisiana Ave,"Dutchtown, Saint Louis, MO",NEW,"$117,000",4bd,3ba,"1,932 sqft"
2503 S 12th St #A,"Soulard, Saint Louis, MO",OLD,"$239,900",3bd,3ba,"1,896 sqft"
3248 Copelin Ave,"Compton Heights, Saint Louis, MO",OLD,"$499,900",3bd,3ba,"3,342 sqft"
4429 Gibson Ave,"Forest Park Southeast, Saint Louis, MO",OLD,"$364,900",3bd,2ba,"2,100 sqft"
4591 Cote Brilliant Ave,"The Ville, Saint Louis, MO",OLD,"$39,900",4bd,5ba,"1,952 sqft"
2335 Park Ave,"Lafayette Square, Saint Louis, MO",OLD,"$549,900",5bd,2ba,"3,450 sqft"
3656 Salena St,"Marine Villa, Saint Louis, MO",NEW,"$45,000",3bd,2ba,"1,518 sqft"
1106 Dover Pl,"Carondelet, Saint Louis, MO",OLD,"$225,000",3bd,3ba,"2,200 sqft"
6504 Devonshire Ave,"St. Louis Hills, Saint Louis, MO",OLD,"$397,900",3bd,1ba,"2,180 sqft"
3533 Paris Ave,"The Greater Ville, Saint Louis, MO",FOR SALE BY OWNER,"$10,500",3bd,1ba,"1,426 sqft"
5944 Wise Ave,"Cheltenham, Saint Louis, MO",OLD,"$145,000",2bd,4ba,845 sqft
4434 Westminster Pl,"Central West End, Saint Louis, MO",OLD,"$850,000",5bd,3ba,"4,540 sqft"
3316 S 9th St,"Soulard, Saint Louis, MO",OLD,"$284,900",4bd,3ba,"2,774 sqft"
4823 Germania St,"Boulevard Heights, Saint Louis, MO",FOR SALE BY OWNER,"$89,900",2bd,1ba,945 sqft
1833 S 8th St,"Soulard, Saint Louis, MO",OLD,"$899,900",5bd,4ba,"6,304 sqft"
3918 Michigan Ave,"Dutchtown, Saint Louis, MO",FOR SALE BY OWNER,"$58,000",3bd,2ba,"2,346 sqft"
3959 Lafayette Ave,"Botanical Heights (formerly McRee Town), Saint Louis, MO",OLD,"$274,900",3bd,3ba,"1,720 sqft"
6312 Fyler Ave,"Lindenwood Park, Saint Louis, MO",OLD,"$179,000",2bd,1ba,"1,004 sqft"
3711 S Spring Ave,"Tower Grove South, Saint Louis, MO",OLD,"$80,000",2bd,2ba,"1,250 sqft"
1415 Union Blvd,"Hamilton Heights, Saint Louis, MO",OLD,"$115,000",5bd,2ba,"2,202 sqft"
6131 Elizabeth Ave,"Clifton Heights, Saint Louis, MO",OLD,"$144,900",3bd,2ba,"1,138 sqft"
4386 Beck Ave,"Tower Grove South, Saint Louis, MO",OLD,"$135,000",2bd,1ba,900 sqft
3923 S Grand Blvd,"Dutchtown, Saint Louis, MO",OLD,"$65,000",3bd,2ba,"2,156 sqft"
4709 Hamburg Ave,"Boulevard Heights, Saint Louis, MO",OLD,"$89,500",1bd,2ba,751 sqft
5700 Cates Ave,"West End, Saint Louis, MO",OLD,"$235,000",5bd,3ba,"1,786 sqft"
5918 Southwest Ave,"Southwest Garden, Saint Louis, MO",OLD,"$129,900",3bd,1ba,"1,199 sqft"
4473 Washington Blvd,"Central West End, Saint Louis, MO",OLD,"$450,000",5bd,4ba,"3,937 sqft"
7808 Parkwood Dr,"Boulevard Heights, Saint Louis, MO",OLD,"$159,900",2bd,2ba,"1,259 sqft"
4346 Swan Ave,"Forest Park Southeast, Saint Louis, MO",OLD,"$165,000",3bd,2ba,"1,056 sqft"
6216 Odell St,"Clifton Heights, Saint Louis, MO",OLD,"$175,000",2bd,2ba,"1,126 sqft"
4564 Newport Ave,"Bevo Mill, Saint Louis, MO",NEW,"$19,900",1bd,1ba,758 sqft
4466 Laclede Ave,"Central West End, Saint Louis, MO",OLD,"$399,988",5bd,4ba,"3,200 sqft"
5223 Gresham Ave,"Princeton Heights, Saint Louis, MO",FOR SALE BY OWNER,"$176,500",2bd,2ba,943 sqft
4728 Westminster Pl,"Central West End, Saint Louis, MO",OLD,"$699,900",5bd,4ba,"3,622 sqft"
4921 Nagel Ave,"Princeton Heights, Saint Louis, MO",OLD,"$129,900",2bd,1ba,"1,001 sqft"
4533 Pershing Pl,"Central West End, Saint Louis, MO",OLD,"$759,000",5bd,4ba,"3,721 sqft"
3330 Missouri Ave,"Benton Park, Saint Louis, MO",OLD,"$229,700",2bd,1ba,"1,284 sqft"
3713 Courtois St,"Boulevard Heights, Saint Louis, MO",OLD,"$129,900",2bd,1ba,"1,068 sqft"
2151 Esther Ave,"Clifton Heights, Saint Louis, MO",OLD,"$149,900",2bd,1ba,864 sqft
1909 Lafayette Ave,"Lafayette Square, Saint Louis, MO",OLD,"$895,000",4bd,4ba,"3,166 sqft"
5261 Westminster Pl,"Central West End, Saint Louis, MO",OLD,"$729,999",4bd,4ba,"4,073 sqft"
3909 Randall St,"Bevo Mill, Saint Louis, MO",OLD,"$89,000",2bd,1ba,"1,152 sqft"
4343 Arco Ave,"Forest Park Southeast, Saint Louis, MO",OLD,"$250,000",3bd,2ba,"1,994 sqft"
5331 Alfred Ave,"Bevo Mill, Saint Louis, MO",OLD,"$95,000",3bd,1ba,"1,226 sqft"
3806 Folsom Ave,"Tiffany, Saint Louis, MO",OLD,"$325,000",3bd,3ba,"2,450 sqft"
4321 Alma Ave,"Boulevard Heights, Saint Louis, MO",OLD,"$299,900",4bd,3ba,"2,246 sqft"
200 W Steins St,"Patch, Saint Louis, MO",OLD,"$189,500",2bd,2ba,"1,650 sqft"
4749 Westminster Pl,"Central West End, Saint Louis, MO",OLD,"$665,000",4bd,4ba,"3,500 sqft"
6024 Maple Ave,"West End, Saint Louis, MO",OLD,"$229,900",3bd,2ba,"2,378 sqft"
6127 Waterman Blvd,"Skinker-DeBaliviere, Saint Louis, MO",OLD,"$399,900",5bd,3ba,"2,910 sqft"
3466 S Spring Ave,"Tower Grove South, Saint Louis, MO",OLD,"$255,000",3bd,3ba,"1,592 sqft"
4259 Oregon Ave,"Mount Pleasant, Saint Louis, MO",OLD,"$219,900",3bd,3ba,"1,758 sqft"
5150 Westminster Pl,"Central West End, Saint Louis, MO",OLD,"$475,000",5bd,2ba,"2,600 sqft"
2911 Brannon Ave,"Southwest Garden, Saint Louis, MO",OLD,"$74,900",1bd,1ba,850 sqft
1617 Clara Ave,"Wells-Goodfellow, Saint Louis, MO",OLD,"$34,000",3bd,1ba,"1,034 sqft"
Boulevard Heights Ct,"Boulevard Heights, Saint Louis, MO",OLD,"$245,500",3bd,3ba,"1,866 sqft"
3835 Burgen Ave,"Holly Hills, Saint Louis, MO",OLD,"$135,000",2bd,2ba,"1,038 sqft"
5039 Adkins Ave,"Bevo Mill, Saint Louis, MO",OLD,"$104,900",3bd,1ba,"1,058 sqft"
1627 Locust St #703,"Downtown West, Saint Louis, MO",NEW,"$109,000",1bd,1ba,797 sqft
4944 Lindell Blvd #3W,"Central West End, Saint Louis, MO",OLD,"$328,500",3bd,3ba,"2,700 sqft"
2862 S Jefferson Ave,"Benton Park, Saint Louis, MO",OLD,"$92,000",6bd,2ba,"2,346 sqft"
3958 Bowen St,"Holly Hills, Saint Louis, MO",OLD,"$254,900",2bd,2ba,"1,125 sqft"
3442 Potomac St,"Gravois Park, Saint Louis, MO",NEW,"$117,000",4bd,2ba,"2,002 sqft"
7122 Tholozan Ave,"Lindenwood Park, Saint Louis, MO",OLD,"$154,900",2bd,1ba,"1,090 sqft"
3834 Virginia Ave,"Dutchtown, Saint Louis, MO",OLD,"$59,900",2bd,1ba,"1,306 sqft"
3456 Humphrey St,"Tower Grove East, Saint Louis, MO",OLD,"$520,000",4bd,4ba,"3,400 sqft"
3640 Alberta St,"Dutchtown, Saint Louis, MO",OLD,"$92,500",2bd,1ba,"1,178 sqft"
5114 Wicklow Pl,"Mount Pleasant, Saint Louis, MO",OLD,"$45,900",2bd,2ba,"1,104 sqft"
5368 Maffitt Ave,"Wells-Goodfellow, Saint Louis, MO",OLD,"$9,000",3bd,2ba,"1,374 sqft"
4237 McPherson Ave,"Central West End, Saint Louis, MO",OLD,"$643,000",3bd,4ba,"3,681 sqft"
3132 Whittier St,"The Greater Ville, Saint Louis, MO",OLD,"$5,000",2bd,1ba,888 sqft
6608 Itaska St,"St. Louis Hills, Saint Louis, MO",OLD,"$389,900",3bd,3ba,"2,284 sqft"
2747 Geyer Ave,"Fox Park, Saint Louis, MO",OLD,"$180,000",4bd,3ba,"1,428 sqft"
2349 Tennessee Ave,"Tower Grove East, Saint Louis, MO",OLD,"$239,900",3bd,2ba,"1,383 sqft"
6003 S Kingshighway Blvd,"Princeton Heights, Saint Louis, MO",OLD,"$170,000",4bd,2ba,"2,032 sqft"
1 Avanti La Collina,"The Hill, Saint Louis, MO",OLD,"$286,900",2bd,2ba,"1,348 sqft"
908 Geyer Ave #F,"Soulard, Saint Louis, MO",OLD,"$335,000",3bd,3ba,"2,268 sqft"
3029 Saint Vincent Ave,"The Gate District, Saint Louis, MO",OLD,"$325,000",4bd,5ba,"2,052 sqft"
4397 Westminster Pl,"Central West End, Saint Louis, MO",OLD,"$985,000",5bd,4ba,"6,010 sqft"
3756 Osceola St,"Dutchtown, Saint Louis, MO",OLD,"$95,000",1bd,1ba,969 sqft
1500 Prather Ave,"Franz Park, Saint Louis, MO",OLD,"$129,900",2bd,1ba,779 sqft
2208 Chippewa St,"Marine Villa, Saint Louis, MO",OLD,"$79,900",2bd,2ba,"1,566 sqft"
1 Bella Vista Lacollina St,"The Hill, Saint Louis, MO",OLD,"$328,900",3bd,4ba,"2,019 sqft"
5505 Magnolia Ave,"Southwest Garden, Saint Louis, MO",OLD,"$114,900",2bd,2ba,713 sqft
4844 Austria Ave,"Boulevard Heights, Saint Louis, MO",NEW,"$55,000",2bd,1ba,561 sqft
1408 Sulphur Ave,"Cheltenham, Saint Louis, MO",OLD,"$68,800",1bd,1ba,813 sqft
5521 S Kingshighway Blvd,"Princeton Heights, Saint Louis, MO",OLD,"$139,000",2bd,2ba,"1,071 sqft"
6219 N Pointe Blvd,"North Point, Saint Louis, MO",OLD,"$68,000",4bd,2ba,"1,512 sqft"
6622 Macklind Ave,"Princeton Heights, Saint Louis, MO",OLD,"$170,000",2bd,1ba,"1,008 sqft"
4110 Dryden Ave,"Penrose, Saint Louis, MO",OLD,"$10,000",2bd,1ba,704 sqft
2157 Knox Ave,"Clifton Heights, Saint Louis, MO",OLD,"$149,900",2bd,1ba,836 sqft
1817 Lynch St,"Benton Park, Saint Louis, MO",OLD,"$310,000",5bd,3ba,"2,733 sqft"
1951 Montgomery St,"St. Louis Place, Saint Louis, MO",OLD,"$250,000",3bd,3ba,"1,960 sqft"
5734 Terry Ave,"Wells-Goodfellow, Saint Louis, MO",OLD,"$30,000",2bd,1ba,"1,020 sqft"
4916 Delor St,"South Hampton, Saint Louis, MO",OLD,"$124,900",1bd,1ba,637 sqft
3671 McRee Ave,"Tiffany, Saint Louis, MO",FOR SALE BY OWNER,"$335,000",4bd,3ba,"2,500 sqft"
4729 Westminster Pl,"Central West End, Saint Louis, MO",OLD,"$699,777",5bd,4ba,"3,045 sqft"
3736 Upton St,"Boulevard Heights, Saint Louis, MO",OLD,"$229,900",3bd,3ba,"2,231 sqft"
3454 Macklind Ave,"North Hampton, Saint Louis, MO",FOR SALE BY OWNER,"$95,000",1bd,1ba,570 sqft
4323 Dryden Ave,"Penrose, Saint Louis, MO",BANK OWNED,"$45,000",2bd,1ba,"1,290 sqft"
6216 Carlsbad Ave,"Bevo Mill, Saint Louis, MO",OLD,"$295,000",3bd,3ba,"1,654 sqft"
4444 Clarence Ave,"O'Fallon, Saint Louis, MO",OLD,"$79,900",3bd,1ba,"1,750 sqft"
5418 Lindenwood Ave,"North Hampton, Saint Louis, MO",OLD,"$199,900",2bd,2ba,"1,008 sqft"
2120 Franz Park Ln,"Franz Park, Saint Louis, MO",FOR SALE BY OWNER,"$410,000",3bd,3ba,"1,932 sqft"
1949 Montgomery St,"St. Louis Place, Saint Louis, MO",OLD,"$235,000",4bd,3ba,"2,280 sqft"
2854 Arsenal St,"Benton Park West, Saint Louis, MO",OLD,"$92,900",3bd,2ba,"1,940 sqft"
4145 Lafayette Ave,"Botanical Heights (formerly McRee Town), Saint Louis, MO",OLD,"$390,000",4bd,3ba,"2,200 sqft"
4108 De Tonty St,"Shaw, Saint Louis, MO",OLD,"$362,000",4bd,3ba,"2,200 sqft"
5064 Emerson Ave,"Mark Twain, Saint Louis, MO",FOR SALE BY OWNER,"$10,000",2bd,1ba,732 sqft
5281 Washington Pl,"Central West End, Saint Louis, MO",OLD,"$499,000",5bd,4ba,"4,242 sqft"
4201 Enright Ave,"Vandeventer, Saint Louis, MO",OLD,"$69,000",4bd,4ba,"2,188 sqft"
776 N Euclid Ave,"Fountain Park, Saint Louis, MO",OLD,"$45,000",5bd,2ba,"1,800 sqft"
4264 Labadie Ave,"The Greater Ville, Saint Louis, MO",FOR SALE BY OWNER,"$15,000",4bd,4ba,"2,150 sqft"
4180 W Belle Pl,"Vandeventer, Saint Louis, MO",BANK OWNED,"$155,000",5bd,3ba,"3,150 sqft"
3445 Itaska St,"Dutchtown, Saint Louis, MO",OLD,"$80,000",3bd,1ba,"1,743 sqft"
835 McLaran Ave,"Baden, Saint Louis, MO",OLD,"$23,500",4bd,2ba,"1,640 sqft"
5646 Kennerly Ave,"Wells-Goodfellow, Saint Louis, MO",OLD,"$30,000",3bd,2ba,826 sqft
5505 Putnam St,"Carondelet, Saint Louis, MO",FOR SALE BY OWNER,"$9,000",1bd,1ba,815 sqft
2663 Nebraska Ave,"Tower Grove East, Saint Louis, MO",FOR SALE BY OWNER,"$370,000",3bd,3ba,"2,420 sqft"
2221 Missouri Ave #B,"McKinley Heights, Saint Louis, MO",OLD,"$114,000",2bd,1ba,901 sqft
3461 S Grand Blvd,"Tower Grove South, Saint Louis, MO",OLD,"$25,000",2bd,1ba,734 sqft
4875 Calvin Ave,"Penrose, Saint Louis, MO",OLD,"$45,000",3bd,1ba,"1,368 sqft"
2622 S 11th St,"Soulard, Saint Louis, MO",OLD,"$399,900",3bd,4ba,"2,200 sqft"
4476 Washington Blvd,"Central West End, Saint Louis, MO",OLD,"$465,000",4bd,4ba,"3,024 sqft"
8123 Reilly Ave,"Patch, Saint Louis, MO",OLD,"$29,900",2bd,2ba,"1,056 sqft"
4733 Alexander St,"Bevo Mill, Saint Louis, MO",NEW,"$94,900",1bd,1ba,768 sqft
5242 Maffitt Ave,"Kingsway West, Saint Louis, MO",NEWBANK OWNED,"$21,900",2bd,1ba,900 sqft
3337 Michigan Ave,"Benton Park West, Saint Louis, MO",OLD,"$139,900",3bd,3ba,"1,920 sqft"
1286 Oak Ct,"West End, Saint Louis, MO",OLD,"$93,000",5bd,2ba,"1,536 sqft"
3742 Illinois Ave,"Marine Villa, Saint Louis, MO",OLD,"$120,000",2bd,3ba,"1,065 sqft"
3101 Henrietta St,"The Gate District, Saint Louis, MO",OLD,"$159,500",2bd,1ba,"1,196 sqft"
5007 Alabama Ave,"Dutchtown, Saint Louis, MO",OLD,"$125,000",2bd,1ba,"1,096 sqft"
4357 Holly Hills Blvd,"Bevo Mill, Saint Louis, MO",OLD,"$175,000",2bd,1ba,"1,441 sqft"
4508 Harris Ave,"O'Fallon, Saint Louis, MO",OLD,"$120,000",3bd,2ba,"1,566 sqft"
210 N 17th St #712,"Downtown West, Saint Louis, MO",OLD,"$54,900",1bd,1ba,630 sqft
3259 Lafayette Ave,"The Gate District, Saint Louis, MO",OLD,"$674,900",6bd,3ba,"4,245 sqft"
5940 Wabada Ave,"Wells-Goodfellow, Saint Louis, MO",OLD,"$45,000",4bd,2ba,"2,160 sqft"
4084 Meramec St,"Dutchtown, Saint Louis, MO",OLD,"$59,000",3bd,2ba,"1,362 sqft"
314 N Broadway #905,"Downtown, Saint Louis, MO",OLD,"$158,900",2bd,1ba,"1,397 sqft"
4732 Varrelmann Ave,"Bevo Mill, Saint Louis, MO",OLD,"$140,000",2bd,2ba,"1,664 sqft"
7077 Lansdowne Ave,"Lindenwood Park, Saint Louis, MO",OLD,"$142,000",2bd,1ba,740 sqft
116 Elwood St,"Carondelet, Saint Louis, MO",OLD,"$116,000",3bd,2ba,"1,380 sqft"
4716 Olive St,"Central West End, Saint Louis, MO",OLD,"$529,900",4bd,6ba,"3,100 sqft"
4566 Washington Blvd,"Central West End, Saint Louis, MO",OLD,"$489,900",4bd,4ba,"3,860 sqft"
410 Fassen St,"Carondelet, Saint Louis, MO",OLD,"$31,900",3bd,1ba,"1,155 sqft"
2624 Lafayette Ave,"The Gate District, Saint Louis, MO",OLD,"$375,000",3bd,5ba,"2,466 sqft"
2913 Indiana Ave,"Benton Park, Saint Louis, MO",OLD,"$475,000",3bd,4ba,"2,975 sqft"
2109 Boardman St,"The Hill, Saint Louis, MO",OLD,"$378,770",2bd,3ba,"1,348 sqft"
875 Gustav Ave,"Baden, Saint Louis, MO",OLD,"$17,500",2bd,1ba,768 sqft
2120 Hereford St,"The Hill, Saint Louis, MO",OLD,"$414,014",3bd,4ba,"2,019 sqft"
3342 Iowa Ave,"Benton Park West, Saint Louis, MO",OLD,"$149,000",3bd,1ba,872 sqft
4623 Ray Ave,"Bevo Mill, Saint Louis, MO",OLD,"$120,000",2bd,1ba,768 sqft
