,year,brand,make_model,price,price_bin,price_rating,mileage,mileage_15,mpg_city,mpg_highway,combined_mpg,condition,accident,one_owner,drive_type,fuel_type,engine,engine_#,automatic,turbo,electric,transmission,trans_#,interior,exterior,color
211,2020,3,Ford Escape 4WD Titanium,32977.0,11,1,1960,0,23,31,54,1,1,0,1,0,4-Cylinder Turbo,4,1,1,0,8-Speed Automatic,8,Sandstone,Star White Metallic Tri-Coat,White
212,2016,3,Ford F150 XLT,34989.0,11,2,46736,10,17,23,40,1,1,1,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,Gray,Blue Jeans Metallic,Blue
213,2018,3,Ford F150 XLT,35888.0,12,2,24093,4,5,0,5,2,1,1,1,0,6-Cylinder Turbo,6,1,1,0,10-Speed Automatic,10,Red,N/A,N/A
214,2020,9,Toyota Sienna XLE Premium,36915.0,12,2,10014,2,19,26,45,1,1,1,0,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,N/A,Blizzard Pearl,Pearl
215,2017,3,Ford Explorer 4WD Platinum,36970.0,12,1,28491,6,16,22,38,2,1,1,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,N/A,White Platinum Metallic Tri-Coat,White
216,2020,9,Toyota Tacoma w/ SR5 Package,37488.0,12,1,1900,0,50,50,100,1,1,0,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,N/A,N/A,N/A
217,2015,3,Ford F150 SuperCrew Platinum,37488.0,12,2,68514,12,5,0,5,1,1,1,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,Black,N/A,N/A
218,2018,3,Ford F150 XLT,38400.0,12,2,21636,4,18,23,41,2,1,1,1,0,6-Cylinder Turbo,6,1,1,0,10-Speed Automatic,10,Gray,Ruby Red Metallic Tinted Clearcoat,Red
219,2018,14,Lincoln Continental AWD Reserve,39995.0,12,2,27000,5,16,24,40,2,1,0,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,N/A,Rhapsody Blue Metallic,Blue
220,2016,3,Ford F150 King Ranch,41977.0,13,2,46135,10,17,23,40,1,1,1,1,0,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,N/A,White Platinum Metallic Tri-Coat,White
221,2018,20,RAM 2500 Laramie Longhorn,62988.0,14,1,10202,2,6,0,6,1,0,1,1,2,6-Cylinder Turbo,6,1,1,0,6-Speed Automatic,6,Pearl,Information Unavailable,N/A
222,2018,11,Mercedes-Benz S 560 4MATIC Sedan,71882.0,14,2,29000,6,17,27,44,1,0,0,1,0,8-Cylinder Turbo,8,1,1,0,9-Speed Automatic,9,Black,Selenite Gray Metallic,Gray
223,2018,16,Jeep Compass 4WD Latitude,19575.0,5,2,28187,6,22,30,52,1,1,1,1,0,4-Cylinder,4,1,0,0,9-Speed Automatic,9,Black,Diamond Black Crystal Pearlcoat,Black
224,2021,4,Hyundai Palisade AWD SEL w/ Convenience Package,41490.0,13,0,6,0,19,24,43,3,1,1,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,Moonlight Cloud,N/A
225,2017,12,Nissan Maxima 3.5 SV,20889.0,6,2,34796,8,21,30,51,1,0,1,0,0,6-Cylinder,6,1,0,0,Continuously Variable Automatic,0,N/A,Pearl White,Pearl
226,2018,16,Jeep Compass 4WD Limited,21795.0,6,2,22378,4,22,30,52,1,1,1,1,0,4-Cylinder,4,1,0,0,9-Speed Automatic,9,Gray,Billet Silver Metallic Clearcoat,Silver
227,2018,2,Dodge Charger GT AWD w/ Blacktop Package,28500.0,10,1,21708,4,18,27,45,1,1,1,1,0,6-Cylinder,6,1,0,0,8-Speed Automatic,8,Black,Granite Pearlcoat,Granite
228,2017,14,Lincoln MKX AWD Reserve,29753.0,10,1,25630,5,16,23,39,1,1,1,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Ebony,Burgundy Velvet Metallic Tinted Clearcoat,Burgundy
229,2017,9,Toyota Tacoma TRD Off-Road,32500.0,11,2,35732,8,50,50,100,1,1,0,1,0,6-Cylinder,6,1,0,0,6-Speed Automatic,6,Silver,N/A,N/A
230,2014,0,Chevrolet Malibu LT,9000.0,1,1,116931,14,25,36,61,1,0,0,0,0,4-Cylinder,4,1,0,0,6-Speed Automatic,6,Black,Ashen Gray Metallic,Gray
